GENE_NAME	mr88	mr89	mr90	mr91
SPON1	4	1	2	2
RRAS2	164	160	132	130
COPB1	1779	1926	1909	2066
PSMA1	1111	1234	978	1011
PDE3B	229	215	119	138
CYP2R1	113	143	104	107
CALCA	0	0	0	0
CALCB	1	1	0	0
INSC	1	0	0	0
LOC102724957	0	0	0	0
SOX6	6	7	5	6
MIR6073	0	0	0	0
C11orf58	959	1061	903	986
PLEKHA7	134	149	134	119
OR7E14P	2	4	8	6
RPS13	1795	1950	1826	1974
SNORD14A	1	1	2	4
SNORD14B	4	3	5	3
PIK3C2A	1227	1273	1291	1334
NUCB2	719	882	1346	1446
NCR3LG1	101	124	131	118
KCNJ11	42	56	43	49
ABCC8	17	17	12	17
USH1C	0	0	0	0
OTOG	0	2	1	2
LOC102723330	0	0	0	0
MYOD1	69	56	46	42
KCNC1	2	0	0	0
SERGEF	124	143	137	146
TPH1	2	1	0	0
SAAL1	115	107	87	73
SAA3P	0	0	0	0
MRGPRX3	0	0	1	0
MRGPRX4	0	0	0	0
LOC494141	0	0	0	0
SAA4	0	0	0	0
SAA2-SAA4	0	0	0	0
SAA2	1	0	0	0
SAA1	0	0	0	0
HPS5	247	262	196	210
GTF2H1	339	374	270	276
MIR3159	0	1	0	0
LDHA	7534	8063	8411	8854
LDHC	0	0	0	0
LDHAL6A	1	4	0	3
TSG101	490	523	509	481
UEVLD	178	159	146	165
SPTY2D1-AS1	4	4	4	8
SPTY2D1	377	378	380	362
TMEM86A	69	66	66	61
IGSF22	1	1	6	2
PTPN5	3	0	0	2
MRGPRX1	0	0	0	0
MRGPRX2	0	0	0	1
ZDHHC13	157	173	138	156
CSRP3	0	0	0	0
E2F8	59	72	32	24
NAV2	3	10	4	0
NAV2-AS5	0	0	0	0
NAV2-AS4	0	0	0	0
MIR4486	0	0	0	0
LOC100126784	1	0	0	0
MIR4694	0	0	0	0
NAV2-AS2	0	0	0	0
DBX1	0	0	0	0
HTATIP2	22	32	39	35
PRMT3	208	229	200	212
SLC6A5	0	0	0	0
NELL1	1	1	0	0
ANO5	0	1	2	1
SLC17A6	0	0	0	0
LINC01495	0	0	0	0
FANCF	339	292	273	302
GAS2	6	8	2	4
SVIP	386	381	394	401
CCDC179	0	0	0	0
MIR8054	0	0	0	0
LUZP2	400	358	414	463
ANO3	0	0	0	0
MUC15	0	0	0	0
SLC5A12	0	1	1	1
FIBIN	0	0	0	0
BBOX1	1	0	0	1
BBOX1-AS1	0	0	0	0
CCDC34	118	159	99	111
LGR4	138	131	97	105
LOC105376671	0	0	0	0
LIN7C	355	382	347	293
BDNF-AS	10	8	17	26
MIR8087	0	1	0	0
LINC00678	0	0	0	0
BDNF	3	0	1	2
KIF18A	65	69	26	26
MIR610	0	0	0	0
METTL15	43	36	59	45
MIR8068	0	0	0	0
KCNA4	0	0	0	0
FSHB	0	0	1	0
ARL14EP	143	86	97	93
MPPED2	1	0	0	0
DCDC5	1	0	0	0
DCDC1	6	1	2	4
DNAJC24	83	81	84	94
IMMP1L	33	51	44	41
ELP4	55	55	59	66
PAX6	1	4	8	6
DKFZp686K1684	0	0	0	0
PAUPAR	0	0	0	0
LOC100506675	0	0	0	1
RCN1	346	409	329	362
WT1	0	0	0	0
WT1-AS	0	0	0	0
EIF3M	1163	1241	972	994
CCDC73	2	3	4	6
PRRG4	234	250	151	173
QSER1	318	347	404	391
DEPDC7	1	0	0	0
TCP11L1	81	65	50	62
LINC00294	51	42	48	47
CSTF3	369	447	305	330
CSTF3-AS1	1	2	0	0
HIPK3	495	529	576	656
KIAA1549L	4	0	1	1
C11orf91	0	0	1	1
CD59	443	499	526	501
FBXO3	276	298	259	264
FBXO3-AS1	0	0	0	0
LMO2	0	2	2	3
CAPRIN1	3339	3774	2594	2557
NAT10	712	828	536	646
ABTB2	132	127	94	117
CAT	749	831	695	755
ELF5	12	10	13	14
EHF	6483	7144	7755	7838
APIP	132	171	110	95
PDHX	987	1093	1077	1105
MIR1343	0	0	0	0
LOC100507144	0	0	0	0
CD44	0	4	0	0
SLC1A2	15	14	5	10
PAMR1	0	0	0	0
FJX1	9	3	6	5
TRIM44	1069	1089	1053	1134
LDLRAD3	520	520	518	550
MIR3973	0	0	0	0
COMMD9	158	199	137	138
PRR5L	3	3	3	0
TRAF6	77	78	91	81
RAG1	2	6	2	4
RAG2	0	0	1	2
C11orf74	47	38	35	34
LOC103312105	0	0	0	0
LINC01493	0	0	0	0
LRRC4C	8	4	5	3
LINC01499	0	0	0	0
LOC100507205	0	0	0	0
HNRNPKP3	0	0	2	1
API5	825	947	639	698
TTC17	532	531	575	552
MIR670	0	0	0	0
MIR670HG	0	0	0	0
MIR129-2	0	0	0	0
HSD17B12	385	445	495	522
ALKBH3	162	170	148	158
SEC14L1P1	20	16	11	15
ALKBH3-AS1	2	3	2	1
C11orf96	1	2	0	0
ACCSL	0	0	0	0
ACCS	0	0	0	0
EXT2	417	473	398	394
ALX4	29	31	27	41
CD82	35	45	55	42
TSPAN18	1	0	0	0
TP53I11	799	855	505	495
LOC221122	0	0	0	0
PRDM11	13	11	2	4
SYT13	0	1	2	0
LOC101928812	0	0	0	0
LOC399886	0	0	0	0
CHST1	0	0	0	1
MIR7154	0	0	0	0
LOC100507384	0	0	0	0
DKFZp779M0652	0	1	0	2
SLC35C1	303	342	315	283
CRY2	177	193	140	136
MAPK8IP1	306	381	311	359
C11orf94	2	2	1	3
PEX16	189	209	189	173
GYLTL1B	78	106	69	70
PHF21A	291	286	237	249
LOC101928894	1	0	0	1
CREB3L1	1	3	2	4
DGKZ	139	136	100	91
MIR4688	0	0	0	0
MDK	77	69	20	29
CHRM4	3	2	0	1
AMBRA1	276	316	218	214
MIR3160-1	0	0	0	0
MIR3160-2	0	0	0	0
HARBI1	51	62	49	55
ATG13	759	802	912	910
ARHGAP1	825	843	735	799
ZNF408	122	110	101	96
F2	1	1	1	1
CKAP5	1704	1878	1271	1293
MIR5582	0	0	0	0
SNORD67	0	0	2	1
LRP4-AS1	2	3	1	1
LRP4	13	15	31	35
C11orf49	142	127	131	160
ARFGAP2	396	482	372	397
PACSIN3	207	232	180	163
MIR6745	0	0	0	0
DDB2	149	187	119	119
ACP2	259	274	307	317
NR1H3	107	114	98	92
MADD	476	520	376	385
LOC101928943	0	2	2	0
MYBPC3	0	0	1	0
SPI1	0	2	0	1
MIR4487	0	0	0	0
SLC39A13	150	148	167	165
PSMC3	706	746	623	645
RAPSN	0	1	0	0
CELF1	1811	1915	1362	1425
PTPMT1	301	357	317	307
KBTBD4	88	89	71	91
NDUFS3	305	338	290	289
FAM180B	0	0	0	1
C1QTNF4	0	1	1	0
MTCH2	1309	1372	1173	1165
AGBL2	1	0	0	0
FNBP4	582	672	493	509
NUP160	423	448	318	344
PTPRJ	495	564	764	784
MIR3161	0	0	0	0
OR4B1	0	0	0	0
OR4X2	0	0	0	0
OR4X1	0	0	0	0
OR4S1	0	0	0	0
OR4C3	0	0	0	0
OR4A47	0	0	0	0
TRIM49B	2	3	3	3
TRIM64C	0	0	1	0
FOLH1	2681	2909	3490	3486
LOC440040	0	0	0	0
OR4C13	0	0	0	0
OR4C12	0	0	0	0
OR4C45	0	0	0	0
LOC441601	0	0	1	0
LOC646813	0	0	0	0
OR4C46	0	0	0	0
OR4A5	0	0	0	0
TRIM48	4	4	4	7
TRIM51HP	0	0	0	0
OR4A16	0	0	0	0
OR4A15	0	0	0	0
OR4C15	0	0	0	0
OR4C16	1	0	3	0
OR4C11	0	0	0	0
OR4P4	0	0	0	0
OR4S2	0	0	0	0
OR4C6	0	0	0	0
OR5D13	0	0	0	0
OR5D14	0	0	0	0
OR5L1	0	0	0	0
OR5D18	0	0	0	0
OR5L2	0	0	0	0
OR5D16	0	0	0	0
TRIM51	0	2	1	1
OR5W2	0	0	0	0
OR5I1	0	0	0	0
OR10AG1	0	0	0	0
OR7E5P	0	0	0	0
OR5F1	0	0	0	0
OR5AS1	0	0	0	0
OR8I2	0	0	0	0
OR8H2	0	0	0	0
OR8H3	0	0	0	0
OR8J3	0	0	0	0
OR8K5	0	0	0	0
OR5J2	0	0	0	0
OR5T2	0	0	0	0
OR5T3	1	0	0	0
OR5T1	0	0	0	0
OR8H1	0	0	0	0
OR8K3	0	0	0	0
OR8K1	0	0	0	0
OR8J1	0	0	0	0
OR8U8	0	0	0	0
OR8U1	0	0	0	0
OR5R1	0	0	0	0
OR5M9	0	0	0	0
OR5M3	0	0	0	0
OR5M8	0	0	0	0
OR5M11	1	0	0	0
OR5M10	0	0	0	0
OR5M1	0	0	0	0
OR5AP2	0	0	0	0
OR5AR1	0	0	0	0
OR9G9	0	0	0	0
OR9G1	0	0	0	0
OR9G4	0	0	0	0
MIR6128	0	0	0	0
LOC101927120	0	1	0	0
OR5AK2	0	0	0	0
OR5AK4P	0	0	0	0
LRRC55	0	0	0	1
APLNR	1	0	0	0
TNKS1BP1	2539	2837	2445	2588
SSRP1	1528	1601	1005	1095
P2RX3	0	0	0	0
PRG3	0	0	0	0
PRG2	0	0	0	1
SLC43A3	1	0	2	1
RTN4RL2	91	101	70	80
SLC43A1	800	826	1296	1411
TIMM10	153	186	119	161
SMTNL1	0	0	0	0
UBE2L6	9	24	15	20
SERPING1	0	0	0	0
MIR130A	0	0	0	0
YPEL4	0	0	0	0
CLP1	80	91	60	76
ZDHHC5	1293	1404	1365	1432
MED19	137	133	88	96
TMX2	610	681	632	654
TMX2-CTNND1	0	0	0	0
C11orf31	646	691	638	647
BTBD18	0	0	0	2
CTNND1	96	130	76	108
OR9Q1	0	0	0	0
OR6Q1	0	0	0	0
OR9I1	0	0	0	0
OR9Q2	0	0	0	0
OR1S2	0	0	0	0
OR1S1	0	0	0	0
OR10Q1	0	0	0	0
OR10W1	0	0	0	0
OR5B17	0	0	0	0
OR5B3	0	0	0	0
OR5B2	7	6	0	3
OR5B12	3	1	3	0
OR5B21	0	0	0	0
LPXN	62	73	172	167
ZFP91-CNTF	0	0	0	0
ZFP91	735	817	680	713
CNTF	0	1	0	0
GLYAT	0	2	4	4
GLYATL2	83	76	154	200
GLYATL1	950	1001	1593	1687
LOC283194	50	38	99	97
FAM111B	511	548	695	690
LOC101927204	96	117	174	214
FAM111A	1041	1157	1093	1141
DTX4	18	20	9	8
MPEG1	0	0	0	0
OR5AN1	0	0	0	0
OR5A2	0	0	0	0
OR5A1	0	0	0	0
OR4D6	0	0	0	0
OR4D10	0	0	0	0
OR4D11	0	0	1	0
OR4D9	0	0	0	0
OSBP	2055	2199	2211	2327
MIR3162	0	0	0	0
PATL1	279	319	197	227
OR10V1	0	0	0	0
OR10V2P	0	0	0	0
STX3	822	943	778	808
MRPL16	288	313	281	265
GIF	0	1	0	0
TCN1	1	0	0	0
OOSP1	0	1	0	0
OOSP2	0	0	0	0
MS4A3	0	0	0	0
MS4A2	0	0	0	0
MS4A6A	0	0	0	0
MIR6503	0	0	0	0
MS4A4A	0	0	1	1
MS4A6E	0	0	0	0
MS4A7	0	0	0	2
MS4A14	2	0	0	0
MS4A5	0	0	0	0
MS4A1	0	0	0	0
MS4A12	0	0	0	0
MS4A13	0	0	0	0
LINC00301	0	0	0	0
MS4A8	13	6	5	3
MS4A18	1	0	0	1
MS4A15	0	0	0	0
MS4A10	0	0	0	0
CCDC86	543	610	340	384
PTGDR2	2	3	1	2
ZP1	4	7	3	0
PRPF19	1607	1809	982	1061
TMEM109	847	931	688	682
TMEM132A	1415	1446	951	1135
SLC15A3	1	0	0	1
CD6	1	0	0	0
CD5	0	0	1	1
VPS37C	387	437	339	366
PGA3	0	0	0	0
PGA4	0	0	0	0
PGA5	0	0	0	0
VWCE	5	10	4	3
DDB1	1530	1781	1356	1292
TKFC	1105	1170	1080	1101
CYB561A3	382	420	387	426
TMEM138	141	152	126	111
TMEM216	4	1	1	2
CPSF7	1034	1131	967	1048
SDHAF2	234	265	201	253
PPP1R32	2	8	5	8
MIR4488	0	0	0	0
LRRC10B	3	8	2	5
SYT7	633	721	1081	1131
LOC101927495	0	4	1	11
RPLP0P2	19	28	21	30
DAGLA	170	197	160	137
MYRF	18	34	40	35
DKFZP434K028	0	0	0	0
TMEM258	392	475	359	449
MIR611	0	0	0	0
FEN1	353	435	215	184
FADS1	1149	1238	1294	1405
MIR1908	0	4	1	2
FADS2	7667	8780	11401	11496
FADS3	149	149	109	151
MIR6746	1	0	0	0
RAB3IL1	38	46	30	37
BEST1	41	42	38	36
FTH1	3873	4101	4680	5230
INCENP	388	431	191	183
SCGB1D1	0	0	0	0
SCGB2A1	1	2	0	1
SCGB1D2	0	2	0	0
SCGB2A2	0	0	0	0
SCGB1D4	0	0	0	0
ASRGL1	191	163	152	139
SCGB1A1	0	0	0	0
AHNAK	2732	3011	2109	2067
EEF1G	3849	4057	3224	3336
MIR3654	3	1	2	3
MIR6747	0	0	0	0
TUT1	644	710	600	643
MTA2	1361	1591	920	917
EML3	241	240	275	315
ROM1	11	11	10	10
B3GAT3	322	325	353	392
GANAB	4803	5241	4378	4655
INTS5	423	423	327	337
LBHD1	43	55	24	34
C11orf98	8	16	18	13
METTL12	71	98	43	63
SNORA57	11	10	13	14
UQCC3	166	170	146	156
UBXN1	478	482	504	476
LRRN4CL	1	1	0	4
BSCL2	29	49	41	43
HNRNPUL2-BSCL2	0	0	0	0
GNG3	2	4	3	6
HNRNPUL2	255	287	241	234
TTC9C	146	126	89	110
ZBTB3	49	60	52	55
POLR2G	301	297	267	249
TAF6L	270	238	219	214
TMEM179B	495	497	494	461
MIR6748	0	3	0	1
TMEM223	133	120	102	115
NXF1	802	917	577	655
MIR6514	0	0	0	0
STX5	351	360	416	431
WDR74	296	307	225	251
RNU2-2P	0	3	0	0
SNHG1	465	491	280	284
SNORD22	32	17	16	15
SNORD31	5	18	5	7
SNORD30	11	5	4	3
SNORD29	17	17	6	6
SNORD28	7	8	4	7
SNORD27	1	3	1	5
SNORD26	9	5	1	0
SNORD25	8	4	3	4
SLC3A2	1563	1645	1376	1440
CHRM1	5	13	10	6
SLC22A6	0	0	0	0
SLC22A8	0	0	0	0
SLC22A24	0	0	0	0
SLC22A25	0	0	0	0
SLC22A10	28	10	8	4
SLC22A9	0	0	0	0
HRASLS5	0	0	0	0
LGALS12	0	0	0	0
RARRES3	7	8	27	14
HRASLS2	0	0	1	0
PLA2G16	83	107	91	105
ATL3	1189	1208	1075	1162
RTN3	1655	1726	1620	1748
C11orf95	81	60	45	29
C11orf84	169	153	68	82
MARK2	805	810	573	616
RCOR2	15	21	8	14
NAA40	237	278	170	179
RNU6-45P	0	0	1	0
COX8A	1060	1153	1062	1142
OTUB1	654	701	569	625
MACROD1	211	236	238	240
FLRT1	2	13	3	4
STIP1	2391	2561	1800	1829
FERMT3	11	8	6	5
TRPT1	246	297	286	250
NUDT22	189	242	217	221
DNAJC4	224	231	268	307
VEGFB	66	65	78	85
FKBP2	316	314	372	368
PPP1R14B	509	570	335	340
PLCB3	165	200	122	123
BAD	217	202	258	239
GPR137	334	336	343	365
KCNK4	0	2	0	0
TEX40	1	3	1	5
ESRRA	469	487	443	455
TRMT112	581	654	494	554
PRDX5	1030	1084	1024	1057
CCDC88B	18	22	14	11
MIR7155	0	0	0	0
RPS6KA4	278	318	218	270
MIR1237	0	0	0	0
LOC100996455	3	5	6	3
SLC22A11	0	4	3	0
SLC22A12	0	0	0	0
NRXN2	7	7	3	2
RASGRP2	2	2	2	1
PYGM	8	5	1	3
SF1	2016	2194	1523	1635
MAP4K2	213	259	261	220
MEN1	418	425	319	329
CDC42BPG	444	472	422	454
EHD1	176	178	171	188
MIR192	0	0	0	0
MIR194-2	0	0	0	0
ATG2A	468	448	513	529
MIR6750	0	0	0	0
MIR6749	0	0	0	0
PPP2R5B	281	270	364	351
GPHA2	1	1	3	0
C11orf85	8	14	11	12
BATF2	1	2	1	2
ARL2	131	153	153	167
ARL2-SNX15	0	0	0	0
MIR6879	0	0	0	0
SNX15	0	0	0	0
SAC3D1	135	151	124	80
NAALADL1	0	0	0	0
CDCA5	271	263	107	104
ZFPL1	177	228	194	216
TMEM262	1	0	1	1
VPS51	864	897	824	898
TM7SF2	879	907	1710	1760
ZNHIT2	194	236	245	223
FAU	1516	1635	1522	1593
MRPL49	901	967	970	1029
SYVN1	745	813	1060	1086
MIR6751	0	1	1	1
SPDYC	0	1	0	0
CAPN1	1181	1314	1065	1138
SLC22A20	3	1	3	1
POLA2	192	168	93	91
CDC42EP2	80	104	90	115
DPF2	338	444	259	248
TIGD3	12	18	9	8
SLC25A45	192	223	191	211
FRMD8	321	338	263	259
NEAT1	6993	7478	14570	15156
MIR612	0	0	0	0
MALAT1	22783	24082	39173	40863
SCYL1	921	1000	1202	1204
LTBP3	855	868	977	1027
SSSCA1-AS1	34	30	17	25
SSSCA1	133	185	128	156
FAM89B	347	419	288	322
EHBP1L1	83	108	91	94
KCNK7	3	4	2	1
MAP3K11	691	739	579	612
PCNXL3	973	1081	959	883
MIR4690	0	1	1	0
SIPA1	180	193	238	185
MIR4489	0	2	0	0
RELA	588	610	509	581
KAT5	149	160	156	134
RNASEH2C	168	182	169	170
AP5B1	310	335	257	226
OVOL1	45	52	50	28
OVOL1-AS1	0	0	0	1
SNX32	2	0	0	0
CFL1	3935	4289	3221	3275
MUS81	214	266	237	205
EFEMP2	12	29	13	21
CTSW	3	1	1	1
FIBP	455	499	437	452
CCDC85B	575	634	424	478
FOSL1	3	4	0	3
C11orf68	227	271	234	246
DRAP1	457	547	456	472
TSGA10IP	0	1	4	0
SART1	469	467	418	381
EIF1AD	176	205	180	169
BANF1	426	447	378	358
CST6	0	0	0	0
CATSPER1	0	0	1	0
GAL3ST3	0	0	2	0
SF3B2	2174	2380	2152	2220
PACS1	1609	1700	2222	2310
KLC2	509	549	539	480
RAB1B	1863	2183	2178	2288
CNIH2	5	5	4	3
YIF1A	568	606	574	640
TMEM151A	1	3	6	2
CD248	0	1	0	0
RIN1	3	2	5	1
BRMS1	270	280	199	205
B4GAT1	190	208	259	280
SLC29A2	329	369	307	301
NPAS4	0	4	0	0
MRPL11	219	226	148	140
PELI3	113	144	150	139
LOC101928069	31	17	9	9
DPP3	530	572	439	443
BBS1	291	330	345	344
ZDHHC24	209	249	272	292
ACTN3	2	2	1	2
CTSF	218	228	341	343
CCDC87	16	29	23	36
CCS	220	250	202	209
RBM14-RBM4	0	0	0	0
RBM14	391	439	321	327
RBM4	339	371	300	319
RBM4B	73	109	63	70
SPTBN2	1564	1574	1566	1712
C11orf80	139	158	155	141
RCE1	123	153	107	97
PC	384	461	425	432
LRFN4	228	272	188	209
MIR3163	0	0	0	0
C11orf86	0	0	0	0
SYT12	1	3	1	1
MIR6860	0	0	0	0
RHOD	200	238	187	219
KDM2A	1295	1487	1081	1105
ADRBK1	1684	1935	2100	2067
ANKRD13D	375	387	341	327
SSH3	276	294	265	294
LOC100130987	22	16	23	18
POLD4	321	374	455	476
CLCF1	6	6	5	1
RAD9A	118	112	102	98
PPP1CA	698	752	615	613
TBC1D10C	58	78	40	55
CARNS1	83	92	70	79
RPS6KB2	591	641	678	639
PTPRCAP	26	31	42	44
CORO1B	1316	1471	1824	1993
GPR152	3	2	3	2
CABP4	15	14	13	19
TMEM134	528	600	681	685
AIP	264	292	289	253
MIR6752	0	0	1	0
PITPNM1	324	332	490	429
CDK2AP2	763	902	805	922
CABP2	0	0	0	1
GSTP1	0	0	0	0
C11orf72	0	0	1	0
NDUFV1	1145	1312	1434	1517
DOC2GP	0	2	5	6
NUDT8	285	278	863	851
TBX10	6	8	23	20
ACY3	0	0	1	0
ALDH3B2	356	329	1257	1202
FAM86C2P	48	49	33	28
RNU6-46P	0	0	1	0
UNC93B1	166	189	150	148
ALDH3B1	28	35	39	44
NDUFS8	468	553	468	562
MIR7113	0	1	1	2
MIR4691	2	3	3	4
TCIRG1	270	296	292	333
MIR6753	0	0	0	0
CHKA	336	400	430	436
SUV420H1	502	582	510	530
C11orf24	316	386	387	359
LRP5	745	772	671	703
PPP6R3	1061	1206	902	922
GAL	81	112	60	81
MTL5	182	163	118	113
CPT1A	2006	2190	1982	2085
MRPL21	268	270	261	265
IGHMBP2	176	202	164	209
MRGPRD	0	0	1	0
MRGPRF	0	0	0	1
MRGPRF-AS1	0	0	0	0
TPCN2	103	134	104	119
MIR3164	0	0	1	0
LOC338694	0	0	0	0
MYEOV	1	0	1	1
LINC01488	0	0	0	0
CCND1	2328	2489	2145	2271
ORAOV1	95	123	89	72
FGF19	1	0	0	0
FGF4	0	0	0	0
FGF3	0	0	0	0
LOC101928443	0	0	0	0
ANO1-AS2	0	0	0	0
ANO1	0	0	1	0
FADD	299	315	236	252
PPFIA1	677	816	618	649
MIR548K	0	1	0	0
CTTN	2295	2607	2049	2021
SHANK2	216	233	242	261
SHANK2-AS1	1	0	1	0
SHANK2-AS3	0	0	0	0
MIR3664	0	0	0	0
FLJ42102	0	0	0	0
DHCR7	1147	1323	1359	1452
NADSYN1	579	565	589	609
MIR6754	0	0	0	0
KRTAP5-7	1	1	0	1
KRTAP5-8	1	1	0	0
KRTAP5-9	1	0	4	3
KRTAP5-10	0	0	0	2
KRTAP5-11	0	0	0	0
FAM86C1	40	74	57	55
ALG1L9P	4	7	6	2
ZNF705E	0	0	4	0
DEFB108B	0	0	0	0
LOC100133315	4	10	3	1
LOC100129216	1	2	0	0
RNF121	197	196	214	188
IL18BP	39	54	35	35
NUMA1	2540	2738	2526	2449
LOC100128494	7	15	15	15
MIR3165	0	0	0	0
LRTOMT	149	151	157	175
LAMTOR1	654	663	560	560
ANAPC15	20	28	24	33
FOLR3	0	0	0	0
FOLR1	0	2	2	4
FOLR2	0	0	1	0
INPPL1	888	1028	825	801
PHOX2A	1	0	0	0
CLPB	386	405	328	384
LINC01537	0	0	0	0
PDE2A	4	1	6	4
MIR139	0	0	0	0
ARAP1	752	797	685	657
STARD10	357	378	402	396
MIR4692	0	0	0	0
ATG16L2	22	28	29	25
FCHSD2	61	62	54	57
MIR4459	0	1	0	0
P2RY2	1	1	2	2
P2RY6	2	0	0	0
ARHGEF17	80	87	55	70
RELT	38	48	37	26
FAM168A	563	601	639	641
PLEKHB1	997	1040	1215	1256
RAB6A	948	1008	761	840
MRPL48	111	106	106	86
COA4	597	615	452	484
PAAF1	235	303	234	261
DNAJB13	0	2	1	0
UCP2	2	3	0	1
UCP3	4	7	7	4
C2CD3	255	314	200	240
PPME1	769	791	715	718
P4HA3	0	1	0	1
LOC101928580	0	0	0	0
PGM2L1	25	17	8	9
MIR548AL	0	0	0	0
KCNE3	0	0	0	0
LIPT2	26	38	30	16
POLD3	140	149	76	95
CHRDL2	0	0	0	0
MIR4696	0	0	0	0
RNF169	292	303	255	251
XRRA1	57	63	73	71
SPCS2	151	190	165	146
NEU3	127	140	107	130
OR2AT4	0	0	0	0
SLCO2B1	0	2	2	1
TPBGL	4	1	2	1
ARRB1	471	536	365	382
MIR326	0	0	0	0
RPS3	5126	5530	3807	4132
SNORD15A	3	0	0	0
SNORD15B	0	1	0	0
KLHL35	88	74	104	104
GDPD5	7	16	19	28
SERPINH1	15	12	7	5
MAP6	1	0	0	1
MOGAT2	13	22	15	17
LOC283214	0	0	0	0
DGAT2	148	153	143	136
UVRAG	123	134	93	140
WNT11	0	3	0	0
PRKRIR	139	141	90	94
LOC100506127	84	87	54	59
C11orf30	346	348	288	310
LRRC32	0	1	0	0
GUCY2EP	0	2	0	0
TSKU	400	453	661	696
LOC101928837	6	5	11	12
ACER3	256	198	259	222
B3GNT6	1	1	0	0
CAPN5	71	64	48	47
OMP	0	0	0	0
MYO7A	0	3	0	1
GDPD4	0	0	0	0
PAK1	27	44	33	27
LOC646029	1	0	0	0
AQP11	21	20	19	22
CLNS1A	597	672	465	511
RSF1	490	558	434	481
AAMDC	43	45	46	42
INTS4	178	176	148	189
NDUFC2-KCTD14	0	0	0	0
KCTD14	0	0	0	0
THRSP	6	7	10	19
NDUFC2	224	219	246	222
ALG8	407	407	417	500
KCTD21-AS1	3	13	1	7
KCTD21	216	207	265	296
USP35	155	196	151	143
GAB2	65	74	55	81
LOC101928865	0	5	1	0
NARS2	249	219	272	248
LOC101928896	0	0	0	0
TENM4	67	60	11	15
MIR708	0	0	0	0
MIR5579	0	0	0	0
LOC101928944	0	1	0	0
LOC101928989	0	0	0	2
MIR4300	0	0	0	0
FAM181B	0	1	0	0
PRCP	407	415	382	388
DDIAS	187	195	50	36
RAB30	180	215	233	219
SNORA70E	0	0	0	0
RAB30-AS1	95	105	70	91
PCF11	603	662	549	521
ANKRD42	151	148	147	139
CCDC90B	320	313	217	241
DLG2	18	13	21	20
TMEM126B	174	201	165	166
TMEM126A	164	180	164	168
CREBZF	810	905	819	852
CCDC89	0	0	1	0
SYTL2	47	30	32	19
CCDC83	5	5	5	1
PICALM	1690	1782	1952	2035
EED	160	160	89	131
MIR6755	0	1	2	1
C11orf73	104	132	131	98
CCDC81	8	2	3	7
ME3	0	1	0	0
PRSS23	24	24	53	58
OR7E2P	0	0	0	0
FZD4	56	47	41	55
LOC100506368	2	2	6	4
TMEM135	258	278	280	314
RAB38	0	1	0	1
MIR3166	0	0	0	0
CTSC	34	30	34	43
GRM5-AS1	0	0	0	0
GRM5	0	0	0	0
RNU6-16P	0	0	0	0
TYR	0	0	0	0
NOX4	0	0	0	0
FOLH1B	1	1	2	1
TRIM77	0	0	0	0
TRIM49	3	2	3	0
TRIM53AP	1	0	1	2
TRIM64B	0	0	0	0
TRIM49D2	0	0	0	0
TRIM49D1	0	0	0	0
TRIM64	0	0	0	0
TRIM49C	3	1	0	2
UBTFL1	0	0	0	0
NAALAD2	28	21	13	14
CHORDC1	383	373	187	181
DISC1FP1	0	0	0	0
MIR4490	0	0	0	0
MIR1261	0	0	0	0
FAT3	0	0	0	0
MTNR1B	0	0	0	0
SLC36A4	75	88	72	80
CCDC67	17	18	19	16
SMCO4	363	352	313	339
CEP295	407	400	256	331
SCARNA9	7	0	9	9
SNORA25	9	8	6	8
SNORA32	18	14	12	19
SNORD6	5	5	2	2
SNORA1	1	2	1	0
SNORA8	8	12	14	6
SNORD5	5	8	2	4
SNORA18	12	24	11	19
MIR1304	7	8	3	2
SNORA40	14	7	6	9
TAF1D	335	338	258	286
C11orf54	353	346	449	509
MED17	361	354	196	205
VSTM5	0	0	0	0
HEPHL1	0	2	1	1
PANX1	211	243	182	189
IZUMO1R	0	1	0	0
GPR83	0	0	0	0
MRE11A	243	250	158	184
MIR548L	0	0	0	0
ANKRD49	85	94	56	73
C11orf97	0	0	0	0
FUT4	7	16	6	12
PIWIL4	0	0	0	0
AMOTL1	92	99	15	19
CWC15	394	460	341	373
KDM4D	12	26	25	16
KDM4E	2	1	0	0
SRSF8	1338	1370	955	998
ENDOD1	4532	4776	3330	3520
LOC101929295	2	3	3	3
SESN3	859	884	625	676
LOC100129203	5	3	1	1
FAM76B	177	165	129	153
CEP57	294	326	231	199
MTMR2	613	637	423	443
MAML2	14	33	10	9
MIR1260B	0	0	0	0
CCDC82	13	13	17	17
JRKL	101	103	63	81
JRKL-AS1	0	0	0	0
CNTN5	0	2	1	1
ARHGAP42	11	8	8	6
TMEM133	3	5	2	0
PGR	1	2	2	3
LOC101054525	0	0	0	0
TRPC6	0	0	0	0
MIR3920	0	0	0	0
ANGPTL5	0	0	0	1
CEP126	15	25	15	15
C11orf70	0	0	0	1
YAP1	926	1038	1380	1495
BIRC3	72	101	92	108
BIRC2	369	464	403	396
TMEM123	1601	1653	1397	1367
MMP7	25	43	28	38
MMP20	0	0	0	0
MMP27	0	1	1	0
MMP8	0	2	2	3
MMP10	1	2	3	8
WTAPP1	0	2	0	0
MMP1	1	0	0	0
MMP3	0	0	0	0
MMP12	1	0	15	10
MMP13	7	2	4	6
DCUN1D5	530	576	451	473
